Question,Answer,Answer_all_parts_of_the_question,Present_relevant_ideas,Fully_explain_these_ideas,"Support_ideas_with_relevant, specific_examples",Score
"Currently there is a trend towards the use of alternative forms of medicine. However, at best these methods are ineffective, and at worst they may be dangerous. To what extend do you agree with this statement?","Alternative medicine is not new. These are being used way before conventional medicine is invented, and it is still used by many people all over the world. I am unconvinced that it is dangerous and feel that both alternative and conventional medicine can be useful to treat a disease.

There are several reasons why the conventional medicine community finds it hard to believe in the alternative form of medicines. First of all, there has been little scientific research in this field, so there is a lack of evidence to support the claim of their supporters. Furthermore, people often try this kind of treatment by the recommendation of their friends and family, and therefore come to the therapist with a very positive attitude, which may be a part of the reason for the cure. Moreover, these medicines are only useful if someone uses it for the long term. Acute medical problems, such as accidental injuries often required more conventional methods.

On the other hand, despite the lack of scientific proof, there is a lot of evidence to suggest that these therapies are useful. Besides, far from being dangerous, they often have few or no side effects, so the worst outcome would be no changes. Moreover, we should not forget that, when there were no modern medicines available at an early age, peoples used these kinds of alternative treatments to cure themselves, and these prove can be easily found in the histories.

To conclude, I strongly believe that conventional and alternative medicine should coexist. They both have completely different strengths and can be used effectively to cure the disease as well as any particular medical problems. ",No,Yes,Yes,No,6
"In many countries, a small number of people earn extremely high salaries. Some people believe that this is good for the country, but others think that governments should not allow salaries above a certain level. Discuss both these views and give your own opinion.","Almost every country in the world is having their own economy, which also depends on the income their citizens. Some get a handsome amount while others are unable to grab such fancy jobs, so they think that government should limit the salaries so that everyone will be equal. These things depends on many reasons, from which few will be further discussed in the upcoming paragraphs.

Firstly, the income a person has depends on the degree of educatioion he is having. For instance, a person with higher education will obviously get more amount of money as, he is more knowledgeble, furthermore, the situation is vice versa with others, if someone have not even studied till secondary level, then it is close to impossible that he will be getting the same salary as the CEO of the company is having.

On the other hand, the idea of restricted stipend is totally unfair. According to me, there are several criteria's an employee is marked on, hence, all the things like work pressure, role of the employee and working hours together decides a salary of a person. For example, if a person is working 12 hours, on the position of senior software engineer position then he won't be accepting the restricted salary of 15, 000 Rupees, which a normal employee is also taking. Although, they are working for the same companies, but, their is a huge difference in the work both are allotted to.

to conclude, I would say, it will be a really tough for an educated individual to work on a smaller amount as he has many roles to play in a company. ",Yes,Yes,No,No,6
Internet crime is increasing rapidly as more and more people are using the internet to make financial transactions. What can be done to tackle this problem ?,"The invention of the internet has led to dramatic changes in the way information is shared and distributed. This system has given rise to the problem of cybercrimes as many people are now using the internet for financial transactions. This essay shall explore and discuss some of the measures to combat this problem.

Nowadays, people have started sharing sensitive data on various online platforms for making payments. This lead to cyber security breaches and thousands of dollars are stolen by the hackers in few seconds, therefore; substantial changes should be brought into the system to save our data. One of the solution to this issue is that the web platforms who provide the facility of online money transfer should take the responsibility of securing the data of their customers. To do this, they should install robust anti-hacking software to cease the unauthorised access of the information. Besides this, the payment companies such as PayPal and Google Pay should keep a separate department whose job is to do data surveillance, and inform the higher authorities in case of security lapse.

In addition to this, the government should implement strict rules regarding online robberies. As this is a novel crime, they have not yet set proper criminal and penal codes for these types of crimes. Furthermore, cyber security awareness campaigns should be initiated in the public and make them vigilant regarding online frauds as several incidents have been reported where people gave sensitive personal details such as OTP, and ATM code to the strangers unknowingly and become victims of online thefts.

In conclusion, although the problem of the internet crimes is not insurmountable, I believe that it is the responsibility of both the government and the payment companies to solve this issue. They should work together by considering some of the solutions proposed above to put a stop to these crimes. ",No,No,Yes,No,5
Some people believe that technology has made man more social. To what extent do you agree or disagree with this opinion?,"Experts throughout both the developing and developed world have debated whether the advent of sophisticated modern technology such as mobile phones, laptops and iPad have helped to enhance and improve people’s social lives or whether the opposite has become the case. Personally, I strongly advocate the former view. This essay will discuss both sides using examples from the UK government and Oxford University to demonstrate points and prove arguments.

On the one hand there is ample, powerful, almost daily evidence that such technology can be detrimental especially to the younger generation who are more easily affected by it’s addictive nature and which can result in people feeling more isolated from the society. The central reason behind this is twofold, firstly, the invention of online social media sites and apps, such as Twitter and Facebook have reduced crucial face-to-face interactions dramatically. Through use of these appealing and attractive mediums, people feel in touch and connected yet lack key social skills and the ability to communicate. Secondly, dependence on such devices is built up frighteningly easily which may have a damaging effect on mental health and encourage a sedentary lifestyle. For example, recent scientific research by the UK government demonstrated that 90% of people in their 30s spend over 20 hours per week on Messenger and similar applications to chat with their friends instead of meeting up and spending quality time together or doing sport. As a result, it is conclusively clear that these technology advancements have decreased and diminished our real life interactions.

On the other hand, although there are significant downsides to technological developments, its’ multifold advantages cannot be denied. This is largely because the popularity of technology such as cellphones allows people to connect freely and easily with no geographical barriers. People are able to share any type of news, information, photos and opinions with their loved ones whenever and wherever they want therefore keeping a feeling of proximity and closeness. For example, an extensive study by Oxford University illustrated that people who work, or study abroad and use applications like Facetime and WhatsApp to chat with their families, are less likely to experience loneliness and feel out of the loop than those who do not. Consistent with this line of thinking is that businessmen are also undoubtedly able to benefit from these advances by holding virtual real -time meetings using Skype which may increase the chance of closing business deals without the need to fly.

From the arguments and examples given I firmly believe that overall communication and mans’ sociability has been advanced enormously due to huge the huge technological progress of the past twenty years and despite some potentially serious health implications which governments should not fail to address, it is predicted that its popularity will continue to flourish in the future.",No,No,Yes,Yes,6
Some educationalists think that international exchange visits benefits teenagers at the school. To what extent do advantages outweigh the disadvantages?,"Education is considered as passport to success and every country dream that their youth must have better education. Recently, international exchange visits have been introduced into the education system. As like me, many are considering it as a good initiative, but opponents have distinct viewpoint. In an essay I will throw light on both perspectives.

The defender of the stance that going for overseas visits during high school studies will bring numerous merits for the society believe that it is good castling. The significant reason behind this notion is that pupils learn many those skills which they do not learn in their own country. For example, in my home country India, every material of study is provided by the teacher, and student puts less effort to brief study material from a long chapter, and this may build laziness with them and they might not develop highly recommended skills of research. Despite the fact, in many developed nations this progression is not followed, and this makes pupils more active learner.

However, every coin has two sides and the same is true here. The far most important drawback of these visits is that teenage period is the most critical period of one’s life, which required close monitoring of parents. Hence, if students will not be monitored by their parents, they might involve in anti-social activities, and this may destroy their future. Further, these contrary consequences may affect parents negatively. Another pivotal aspect is, orientation of international exchange visits may cause extra burden of poor parents as many times they cannot afford international trips, which can deteriorate their family relation, especially with their offspring’s.

To conclude, it cannot be denied that these international travels while studies have far reaching negative impacts, but these are uncommon. Rather than continuing the disadvantages of this, it will be more beneficial to count the advantages as these can be gained by plentiful pupils. ",No,Yes,Yes,Yes,6.5
The government should allocate more funding to teach science rather than other subjects in order for a country to develop and progress. To what extent do you agree?,"Science plays an important role in the growth and progress of a nation. However, other subjects are also important for the economic development of a country. Therefore, I believe that the government should allot equal funds for the teaching of all subjects.

Science subjects are definitely helpful. They help to solve many problems affecting us and our environment. Government funding will lead to improvement in medical research and the invention of many cures. Health, after all, is wealth. In order for a nation to progress, its people have to be healthy. Research in medical science facilitates this. In addition, scientific research in agriculture can increase the fertility of the land and result in economic growth. Science subjects like technology and engineering also play a crucial role in making our lives happy and comfortable. Obviously, the government funding of science subjects helps the country to develop and progress.

However, this does not mean that only science subjects are important. Other subjects like arts, crafts, literature and humanities also play an important role in the overall progress of a nation. These subjects make people aware of their history and culture. They improve our aesthetic skills and enhance the overall quality of our life. Art subjects provide plenty of job opportunities too. After all, no nation can progress only on the wings of science.

To conclude, government funding should not be limited to science subjects. For the overall development of the country, the government should support the teaching of other subjects as well.",Yes,No,Yes,No,6
Nowadays many people have access to computers and a large number of children enjoy playing video games. What are the advantages and disadvantages of playing video games for children?,"Acitivities are essential part of our live; it keeps us motivated and energetic. Children learn a lot in outdoor and indoor activities. Playing games either inside or outside is really important for children to learn new things on daily basis. Technology advancement has greater impact not only in adult lives but also in children lives.

Children love to play video games either in cell phones, laptops and computers. Playing video games on electronic devices have pros and cons. The disadvantages of playing video games include the children mental health. This growing age of a child is important as he/she is learing new things every single day, it is essential for the parents to keep an eye on their children in order to know what they are doing on regular basis. Some of the video games have very violent content which is not recommended for children under 18, but inspite of those children are playing it. This kind of video games can destroy our future generation a lot. Playing video games are addicited to some extend, that’s why it is important that parents keep an eye on their children and limit the time of playing video games.

Video games can be beneficial if they are used in a correct way. There are so many video games for children that help them to improve their IQ level. From educational point of view, there are many video games that help them to learn every day. Computer games can help kids to relax and release stress. On the contrary, the usage of anything which is beyond limit can be harmful.

Advancement in technology can make lives easier. On the contrary, the usage of anything which is beyond limit can be harmful. ",No,No,Yes,No,5
"In today's world where we all have access to the internet, more and more children are playing computer games and their popularity is increasing all the time.","In today's world where we all have access to the internet, more and more children are playing computer games and their popularity is increasing all the time. This essay will look at the positive aspects these games can have and also the negative effects on children.

Firstly, as education is becoming more demanding for many young people, computer games can provide a way of relaxing and reducing stress. Computer games can take us into different worlds where we can escape from reality. In addition to this, computer games today are very advanced and can help children develop their thinking skills. Instructions need to be understood and games often include complicated problems which need to be solved.

However, there are also many problems with the increasing popularity of computer games. Many children become addicted to them and they play for hours, sometimes through the night. In South Korea, the government has banned children from playing games after midnight as the problem was so great and the effect on education was very negative. Furthermore, some children find it difficult to identify what is real and what is virtual. Some people argue that this has led to a rise in crime inspired by video games. This is not proven, but it is undeniable that games today can be very violent.

To sum up, there are both advantages and disadvantages with computer games and it seems that parents need to exercise caution and monitor their children's activity as some games may be more suitable than others. ",No,Yes,Yes,No,5.5
"In this world, many people are dying from various types of health related problems due to the lacking of appropriate health education and preventive actions."," In this world, many people are dying from various types of health related problems due to the lacking of appropriate health education and preventive actions. That is why a government should expend a huge amount of money from health budget for cure-related education as well as preventive measure. It is agreed that this policy has a great number of benefits and this will be proven by analysing economical point of view of a country and the health aspects of people.

Firstly, many regimes spend an enormous amount of money in order to treat their people who are suffering from different types of serious diseases. This extravagance can be easily diminished when state commences of healthcare educational system by spending money to the health teaching system. As an example, if the administration perceives to their slums that smoking, drinking, and so on is bad things for human body through this educational program, many people will be not attacked by the severe sickness. This could save a large amount of money of the state. As can be clearly seen from this illustration that the idea may bring colossal economic benefit to the government.

Secondly, many governments fight against several types of diseases, especially diabetes and the heart diseases. Before these health problems assault the people, it can be ceased by taking some preventive measure. For example, exercise, sports, entertainment etc. can decrease the chances to become these patients. Making parks, playground, and cinema hall can influence people to do exercise, which can protect the people from these intense sicknesses. This can be achieved by investing the money in preventive measures from health budget.

In conclusions, this idea is indispensable not only to the people but also to the governments. However, the tremendous amenities of this policy fortify my argument. Therefore, a government should spend money for health education and preventive measure from health budget. ",No,Yes,Yes,Yes,6.5
Some people think that ambition is a good quality. Is it an important to be ambitious? Is it positive or negative charactericties?,"Many people hold the belief that one of the good personalities is an aspiration. Although there are some drawbacks to this sentiment, I concede that ambition plays a vital role in daily life. In my frame of thinking, I believe that aspiration is a good characteristic. This is because people would have a strong motivation and patience to achieve their goods. Therefore, an ambitious person usually focuses on their targets and works hard until they reach them. For instance, Elon Musk used to rent a house because he dedicated all his money to establish two companies, namely SpaceX and Tesla and then he became the richest person in the world thanks to his ambition. Furthermore, aspiration also helps people manage themselves avoiding waste time such as surfing the internet, playing video games. Consequently, ambition is the best quality which brings benefits for people in their life. However, this ambition also will have drawbacks side if people are over aspiration. First of all, people would not listen to the opinion of others because aspirate people have a fixed path. Therefore, they are more likely to fail and then they would try again to fit problems under the pressure of family, society. As a result, it creates heavy pressure on people and makes them tired, low self-esteem and even disappointed. Moreover, ambitious people maybe find different ways to achieve their goals which could be an illegal and ethical act. Thus, it impacts their mental and brings bad behaviors such as impolite, dishonest. In conclusion, I strongly believe that aspiration is a good personality which vitally needs to have in life. Nevertheless, people should control and balance it in order not to affect their life. ",No,No,Yes,No,5
Some people say that the Main environmental problem of our time is the loss of particular species of plants and animals. Other day that there are more important environmental situation. Discuss both these views and give your own opinion.,"It is argued that at present extinctions of some animals and plant species are the major environmental problem, while others hold that other environmental problems are more important. Although some plant and animals have always played an essential role in human lives, air pollution has detrimental effects in people's lives. I agree with the former view.

Plants and animals have played a viral role in people lives. It provides ample essential things that are not merely important for humans lives but also for animals and plants. However, with the help of some advanced technologies now it is possible to reproduces some species of plants and animals that went into extinction. Cloning and planting are new methods that reduce extinction some species. For this reason I believe that lost of some species of animals and plants are no more a main environmental problem. For instance, increase the breed method can increased the number of animals and plants.

Furthermore, a major environmental problem is air pollution. Since many people are depending on advanced technologies and often using vehicles. it reduces the consumption of time. As a result, air pollution has become a hazard problem for the environment. Vehicles produce toxic and hazard emissions that directly affects to the environment. For instance, Delhi, is the capital of India, produce toxic emissions due to overpopulation. Consequently, governments have increased the prices of vehicles so people can not afford it.

Overall, I believe that extinction of some plants and animals are not no more a main environmental problem, although it is essential for people' Lives. Air pollution has drastically increased due to the increase number of vehicles.

I conclude, plants and animals can be reproduce by some advanced technologies, but air pollution is the main environmental problem due to variable usage of transport system. 
",Yes,Yes,No,No,6
"You should spend about 40 minutes on this task. Society is based on rules and laws. If individuals were free to do whatever they want to do, it could not function. To what extent do you agree or disagree with the above statement? You should write at least 250 words.","The people’s behavioural patterns are dependent directly on the law and order introduced by the human, to the human. If there is no such regulations, it could mislead the entire humankind on the negative prospect of life that eventually results in increased number of crimes and misuse of natural resources.

After all, the humankind is just a social animal that hunts the natural resources like forest, for the sake of their own prosperity. It is the propaganda of the Government that plays a major role to look after this issue. The competitiveness among the people, to live a luxurious life lead them to disturb the natural habitat. For instance, if there is no law, then the business people would have destroyed the entire plants for the manufacturing of paper, furniture, etc. It is the policy of the Government that had helped to save the planet Earth from such activities.

In addition, the crime number would increase drastically as a result of people’s independency on decision making during the venture of life. The rage of balancing the pace with others in the society makes the individual to fail the sense of analysing their own actions. Imprisonment and punishment are the consequences of the wrong doings, for example, the people committing murder out of anger are brought under the jurisdiction to prevail the justice for the lost life. This indicates the importance of rules and order, or else, anyone can take one’s life just to express their emotional distress like anger.

To sum up, good psychology patterns of humankind are attained only by the proactive laws and regulations which insists the individual to live their fruitful life without engaging themselves in crime for their own cause and also, without misusing the natural habitat.",No,No,Yes,Yes,6
1. Small businesses are disappearing and being replaced by large multinational companies. Do the advantages of this outweigh the disadvantages?,"It is generally claimed that minute companies are vanishing from the world due to a enormous multicultural comporations. This essay will demostrate why is the reduction of the competition beneficial, and also will show why is the diversity of the industries essential. Moreover, I believe advantages of the statement do not outweigh the drawbacks.

First and foremost, having fewer businesses supports others to get money. These days, there are a number of companies selling similar products. Therefore, the reduction of the smallest organisations automatically means more chances for different brands. For instance, apple is known for designing mobile phones. However, on the scene are additional industries creating the same items which means people need to choose from a range of options. Consequently, the decrease of possibilities lead to the higher profit in favour of large business.

On the other hand, great variacy of organisations is vital for the society. It is a fact that every human is different, due to this, needs of a person can vary a lot. Furthermore, in some situations, majority can not find the proper product created in the start up, because it does not exist anymore. For example, my mother wanted to buy a special shirt but she could find the shop. Afterwards, she read that company for replaced by commersianlized business. Lastly, she was angry and really upset.

In conclusion, to do not have the necessity to fight with a result of earning more money is an extreme plus. Athough, the freedome of choice is a part of life that should not be replaced. Accordingly, I am certain that disadvantages have more crucial values than benefits. 
",No,No,Yes,Yes,6
Some people believe that teaching children at home is best for a child’s development while others think that it is important for children to go to school. Discuss the advantages of both methods and give your own opinion. Give reasons for your answer and include any relevant examples from your own knowledge or experience,"There is no doubt that a child’s development is of utmost concern for parents. Although some people that homeschooling is better for the children, others argue that the child should physically go to school. In this essay, I will discuss both sides of the topic and explain my reason to support the latter view.

One of the biggest advantages of teaching children at home is that the child stays under the supervision of his parents. They have an advantage to educate the child on subjects and topics which they might feel would be beneficial for him to excel in future. To illustrate, a father might focus more on developing the skill of dealing with numbers in his child with a mind-set that his son might have a successful career being a financial analyst or broker. In addition, the parents will have a benefit to inculcate the ethical values in the child.

On the contrary, I would argue that children should go to school as it polishes the different aspects of his personality. When they go to school, along with getting educated on different subjects, they also get an opportunity to interact and socialize with other children. For instance, the child might study various subjects during the class hours but during the lunch break and physical training session, the kid gets to enjoy and explore with other children and make friends with them. If they were being schooled at home then they would have missed on getting educated on multiple subjects and learning the ability to network, which play an integral role in the personality development.

To sum up, while there are advantages of teaching children at home, but we must take into consideration the additional benefits of personality grooming that a school offers. Therefore, I would not want to homeschool my children. ",No,Yes,Yes,Yes,6
"The number of people being sent to prison is increasing year by year. While some people believe prison is the best way to tackle crime, others suggest that community service is more successful. Discuss both views.","Increased number of people are being prisoned every year. Some would argue that community service shows more success, while other argue that only prison can help to help to alleviate crime. Even though working for the community can change criminal's mind, victim will not feel safe knowing that criminal is out there.

On the other hand, community service provides a great platform for a criminal to help others and gives an opportunity to be a better person again. Thus, their perspective towards society will change and consequently they will be less like to commit any crime again. For an instant, according to a research from Queen University suggest that 60% of criminals who provided community services are now living a normal life resulting in less number of crimes.

On the other hand, although community service may benefit criminal, it will be hard for victim to fill safe. There are chances that crime will be repeated again if the criminal is not imprisoned. Victim can live in a constant fear. For example, Leena will not be able to go out for anything as she was kidnapped during her childhood if she will have to see kidnappers in the community.

In conclusion, Imprisoning the criminal is the only best way to reduce crime and community service is not an option as it is important for victim to feel secure. ",No,No,Yes,Yes,6
"Art is considered an essential part of all cultures throughout the world. However, these days fewer and fewer people appreciate art and turn their focus to science,technology and business?","Art play an imperative role in today's era. Nowadays, every individual showing their interest in science, technology and business rather than in art. I think this trend is going toward a negative development and this essay will discuss the reasons of negative development alongwith solutions in subsequent paragraphs. To commence with, there are several demerits of decreasing interest in art. First and foremost, history of particular nation could be washed out, where number of people are diverting toward business and science because artists alway display most probably history related paintings in museums. Therefore, if these museum replace with business, then history will devastated. Secondly, people could not able to express their talent in society. With the help of art, people alway acquire opportunity to show their skills, by which they can get name and fame. To exemplify, recent survey of Gulph University, Canada showed that the artists who are well known in society alway depicts their interest in art rather than business and technology, which is the reason of their success. Furthermore, there are plethora of ways to persuade people toward art. Chiefly, government of every nation should held competitions of art, in which they provide rewards to artist who will win these competitions. These prizes will help to provide more ficus of people in art. In addition to it, government should also aware people regarding the vital role of art in society. Thus, this way people would be more encourged in art. To recapitulate, it can be concluded that by decreasing interest of art, there will be a deleterious effect on nations. Therefore, goverment should do some efforts to make existed of art in society. 
",No,No,Yes,No,5
"Life nowadays is generally much more stressful than in the past. Give some reasons why people suffer more from stress nowadays, and say what they can do to reduce it.","There is considerable growth in stress level these days, as compared to the past, but we can do something to reduce level of stress. This essay will discuss some of the problematic factors behind this problem, and the measures that people can take to overcome this.

Firstly, the reason for stress is that we are living in a fast-paced world. This means that there is an ongoing race, and everyone is busy to compete with each other. As a result, no one has time even for their own, and also, they do not find time to get themselves relax. Secondly, people are busy in technical gadgets. In other words, people are in contact with the distant ones, and they ignore those who are sitting behind them. For example, people make many friends on social media; they are busy in chatting with them; thus, those who are closer to them and want to share some stuff but they don’t because no one is their for them to listen.

There are two effective solutions to tackling this issue. One way to tackle this is to make a daily schedule for them. In addition, there should be some outer-entertainment, in that time table. By doing this, they can find time for their own. Another method of dealing with this is that, whole family should gather daily for an hour, they should share their full they activities, and social media should be on side for that time. This solution would hopefully prevent them from going into stress.

In conclusion, daily plan and less use of social friends are effective in dealing with the stress. If people implement these solutions, they can enjoy stress free life. ",No,No,Yes,Yes,6
Some people think that educated people are more valuable than people who have learned skills through experience. Do you think that educated people are the most valuable for society? What kinds of skills can people learn through experience that can benefit society?,"It is a common belief that the most worthy of ones in our society is to study a lot instead of the ones who developed its skills by experiencing. I think that we should not underestimate the value of someone who learned its skills through practices. Further, communication technique with years of practicing could benefit our society as a whole.

I believe that people learned skills through practices have more resilience to face many difficult challenges in contrast to those people who merely study the theories in class. As we live in a world where is full of risks and potential threats in different sectors. Educated people had spent years in a protected environment with very little chances to explore the real world. Which blinds them from seeing the side of cruel and dreadful our rapidly changing society. However, people who trained its skills via experiences are the ones entered into workforce early and that resulting them in realizing what to expect and learn from its failures.

In addition, having communication skills with intense practices are definitely beneficial to our society. Because it enables people to learn from one another. Even it is for the educated people who have not ever been working in their lifetimes. As they could use this technique to avoid making many mistakes. Which eventually aids to improve our society economically and culturally.

To recapitulate, some believe that learning skills via experiences rather than in education are less value in our society as a person. However, toughness could be developed in ones because of it and, this attribute character arguably has a significant contribution to our society. Moreover, the master of communication skills in ones would enhance our society to move forward. ",No,No,Yes,No,5.5
"Some people say that in our modern age, it is unnecessary to teach children about the skills of handwriting. To what extent do you agree or disagree?","It is irrefutable that due to the advancement in technology, electronic gadgets such as computers, laptops, mobile phones have become part and parcel on individual's life. So, quite a few people hold their point of view that in this contemporary era, teaching to pupils about handwriting is completely non-essential. After going delve deeper, I am strongly disagreed with this notion.

To embark on, the first and foremost significant reason behind this unfavourable practice is that although most of the youngsters have adapted technological equipment to express their thoughts as well as feeling, but hand writing is still prominent for children who take admission in schools as they have to finish their school work by writing it on notebooks. Moreover, they give their examinations in the written form instead of typing on computers. Hence, handwriting is required to fulfil their academics requirements.

Moving towards another reason that can not be negligible. Having beautiful handwriting enables children to boost their confidence level as they love their writing which leads to more focus on studies and it improves their academic result. A painstaking research has had been undertaken which disclosed that two-third children who have good handwriting skills become successful person in future. Last but not least, it also enhances their mortar skills such as creativity, imagination because when they start writing, they can think deeply and can express themselves in an effective way.

In conclusion, despite the influence of modern technology, handwriting has still its own importance in one's life. So, it should have essential part of student's studies. ",No,No,Yes,No,5
"Despite health warnings, a large number of people continue to smoke all over the world. Why should we be concerned about this? What solutions would you suggest?","In our modern world today controlling a habit of smoking is one of the controversial concern in every part of the world. Although a plethora of diseases connected to this inevitable habit, still an enormous number of individual could not halt the urge of smoking. This essay will discuss why we should give attention on this issue and provide some solutions.

Generally every person smokers or non-smokers should be aware that the smokes coming from the cigarette contribute a harmful effect on ones body. To elaborate this is for example, a family which is the father is smoker even though he is smoking outside the house away from his wife and children. The fact that he smokes outside but still the smokes are around somewhere in their house and also the smells of the cigarette can attached to his skin and even to his clothes. This smells can also inhaled by his family. A continuous habit like this will eventually damage their health and lead to different kinds of diseases like asthma, pneumonia or ever worst a lung cancer.

There are various solutions to this damaging problem. The role of the government as well as each citizens working together can overcome such habit. For example, the government can implement a banning of using cigarette in public places like, market, streets, and parks to name some. In addition to this, if they caught smoking in those restricted areas they will charge a fine. Another thing is that the government can increase a tax to all tobacco and cigarettes. If this happen a person for example earning an average income would find it hard to purchase. Moreover, this will cause a lesser number of cigarette used everyday. With these few ideas that I suggested if implemented by the government and follow by the smokers can have a positive impact on their lives.

In conclusion, although the government impost a law and restrictions still it is every persons responsibilities to look after their health as well as their family.",No,Yes,Yes,Yes,6
A second language is regarded as essential to success in the modern world.It should be compulsory for all children to study a second language as soon as they start school.,"In our modern days in order to give yourself more options to develop is to study languages. This can facilitate the achievement of your further plans and life goals. Many people believe that children should begin to study second language with the beggining of their education.

I fully agree that kids should be obligated to study another language grom an early age. This will surely give them advantage in the later years. A little problem is that they start whit it in a time that they cannot yet understand the importance of what and why they are doing it. Because of that the second language can be sometimes neglected by them when they get a little bit older. I have many friends that after we graduated high school had regreted that they did not payed enough attention in class and did not study as hard as they should. I think high school is the time when we need to understand what we desire to do with our lives in the future. And if we disregard education, we will surely suffer later on. So to avoid to get in situation like this and help young people, as soons as they walk in school it should be explained the importance and the advantages of specifically learn a second lannguage.

In a different situation, when a person wants to study abroad or work abroad, it would not be possible without knowing the language they speak. It is going to be required to speak it freely. To expand the area and the possibilities of your own evolving, knowing different languages and being able to communicate with people abroad is a must. I personaly want to go study abroad and because of that I must speak English freely without having trouble to comunicate or understand other people. Another requirement is to have a certificate from the British counsil that I have covered all the demands.

To conclude, knowing two or even more languages is always going to help you in life and give you many more possibilities to progress in life. ",No,No,Yes,No,5
"The graph examines data about the revenue generated, in billion pounds, by Southland's three primary export sectors (international tourism, dairy products and meat products) in the three years 2000, 2021 and 2025.","The world as a whole adapting to a virtual environment nowadays where the term internet plays a crucial role, thereby providing abundance of information and upgrading communication. Despite the benefits, there are some people who say that these social platforms should be in control. However, others actually rely on it in all cases. This essay will discuss both of these perspectives in positive and negative attributes of each.

While there are benefits in the usage of internet throughout the world, there are also drawbacks. The main reason why this usage is important and should not be limited is because, the internet provides immense knowledgeable factors and updates where one can have easy access towards self-study. For instance, with the help of internet and using it as a tool I prepared for my software certification. As a result, with no doubt I cleared with good gradings. Moreover, pertaining to this quarantine situation, many people are separated from their houses, but with the aid of internet everyone can communicate easily who are situated in some other place that is far. However, on the other side, they might make people to get addicted in a faster rate. Currently the younger generation is getting attracted towards net-based games which ultimately result in addiction. These are the absolute plus and minus aspects of internet

Controversely, with reference to the above fact on addiction some believe that the flow should be limited. Moreover, parents are really vary about their children regarding this game addictions and wanted them to use these facilities in a controlled manner. But, nowadays owing to the pandemic situation, all the teaching methods are following a virtual manner which requires adequate internet connection for one to invlove in the class and prepare for online examinations. In addition to this, if there is a controlling criteria in the usage of internet then it would lack in self-learning part which is extremely important in today's world.

To sum up, everyone all around the world use internet to a greater extent to gain a lot of information in order to have a good exposure on studies by self-learning and as a platform to communicate virtually in this current world. ",No,No,Yes,Yes,6
Farming is the backbone of every country but nowadays many youngsters hesitate to enter in this profession. Why is this the case and what can be done to avoid it?,"Farming is a primeval profession that can change the fate of a country. Numerous businesses have direct and indirect interaction with the agriculture sector. Unfortunately, there are many reasons as to why the youth are lacking interest in adopting the agricultural sector, over which I would throw light with supportive references and solutions to curb this problem.

Firstly, the increasing mindset of people to attain better standards of living is making the youngsters craving to get white color jobs with fat income. Every parent wishes that their children achieve a better quality of life by getting better education and finally a comfortable and satisfied employment. This scenario that’s been inculcated into the youth since their childhood makes them think that there is no comfortable life if they don’t study well. It can be witnessed that 90 % of youngsters in India either want to become an engineer or a doctor and if they don’t secure a place in any of these sectors they presume a poor career prospects. Such psychology needs to be eradicated from the mindset of the youngsters and their elders to explore potential career path.

Secondly, last two decades have witnessed as to how industrial and communication revolution spread their wings into all walks of life. Due to the shortage of time, 70 % population are dependent on ready to eat foods, which indirectly encouraging the agriculture sector and at the same time gaining commercial value to the sector. Government organizations must make programs and propose financial aid to encourage youth in taking up farming as their prime work. Educational institutions play a pivotal role in marketing the importance of agriculture in adolescents, which would not only develop strong economy but also potential youth that would change the phase of the country in global village.

In conclusion, youth of the nation must realize if no one opt the agriculture sector there will come a day where we would not have sufficient food derivatives. It becomes the elder’s responsibility to educate their children the importance of farming and make them learn the science, so as they can support themselves and support from organizations will also help in educating the common man about the importance of farming that would support the economy and change the fate of the country. ",No,Yes,Yes,No,6
